No.,IO_Type,Output Driving Mode,Single/Differential,Drive,All Output Drive Support,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,I3C Mode(bank 4/5),MIPI Input(bank 4/5),PullMode,SingleResistor(bank 0/1/4/5),SingleResistor(bank 2/3/6/7/8),DIFFResistor(bank 0/1/2/3/6/7/8),DIFFResistor(bank 4/5),BANK VREF,BANK,BANK VCCIO,BANK-9 VCCIO
1,LVDS25,True LVDS,,OFF,3.5/2.5/4.5/6,3.5/2.5/4.5/6,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,ALL,2.5/3.3,-
2,RSDS,True LVDS,,OFF,2.5,2.5,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,ALL,2.5/3.3,-
3,MINILVDS,True LVDS,,OFF,2.5,2.5,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,ALL,2.5/3.3,-
4,PPLVDS,True LVDS,,OFF,3.5,3.5,OFF,SLOW,OFF,OFF,OFF,OFF,OFF,NONE,OFF,OFF,OFF,OFF,OFF,ALL,2.5/3.3,-
5,LVDS25E,Voltage(Based on LVCMOS_diff),,8,12/24/20/16/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,2.5,-
6,BLVDS25E,,,16,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,2.5,-
7,MLVDS25E,,,16,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,2.5,-
8,RSDS25E,,,8,12/24/20/16/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,2.5,-
9,LVPECL33E,,,16,16/24/20/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,3.3,-
10,HSTL15D_I,,,8,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,1.5,-
11,HSTL18D_I,,,8,16/24/20/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,1.8,1.8
12,HSTL18D_II,,,8,16/24/20/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,1.8,1.8
13,SSTL15D,,,8,24/20/16/12/8/4,OFF,OFF,FAST/SLOW,OFF,OFF,OFF,OFF,OFF,NONE/UP/DOWN/KEEPER,OFF,OFF,OFF,OFF,OFF,ALL,1.5,-
